Date,Item Code,Sales Qty,Price in USD,Purchase Date,ItemCode,Item Description,Purchase Qty,Purchase Amount,Supplier,Code,Group,Category,"Quantity
On Hand","Retail
Price","Opening
Cost USD",Color,Size,month_name,year
4/27/2021,784,-1,-15.24,8/4/2021,784,42081235 COTTON PANT MEN WRANGLER 36,1,7,Ali Taleb,784,COTTON PANT,MEN,0,20,7,OILY,36,August,2021
4/28/2021,908,1,9.59,8/4/2021,908,TS691KDBZ04TA00 T-SHIRT MEN DRAGONBALL Z XL,1,5,Ali Taleb,908,T-SHIRT,MEN,0,18,5,WHITE,XL,August,2021
4/28/2021,1096,1,18.39,4/24/2021,1096,AJ9649-010 T-SHIRT MEN NIKE XXL,2,14,Ali Taleb,1096,T-SHIRT,MEN,0,22,7,BLACK,XXL,April,2021
4/28/2021,1155,1,9.59,4/24/2021,1155,GT23HY07718-014 T-SHIRT MEN CHAMPION XXL,1,6,Ali Taleb,1155,T-SHIRT,MEN,0,18,6,GREEN,XXL,April,2021
4/28/2021,1226,1,20.89,4/24/2021,1226,BP9111 SHORTS MEN ADIDAS L,1,7,Ali Taleb,1226,SHORTS,MEN,0,25,7,BLACK + WHITE,L,April,2021
4/28/2021,617,1,3.99,2/24/2021,617,SN89289N SHOES KIDS SCKECHERS 16,3,9,Ali Taleb,617,SHOES,KIDS,0,8,3,BLUE,16,February,2021
4/28/2021,1069,1,10.43,8/4/2021,1069,040051163-P3 MEN V NECK GOODEFELLOW L,2,12,Ali Taleb,1069,MEN,V NECK,0,12,6,WHITE,L,August,2021
4/28/2021,814,1,15.04,8/4/2021,814,563849 SHORT MEN ALL IN MOTION XL,1,6,Ali Taleb,814,SHORT,MEN,0,18,6,NAVY,XL,August,2021
4/28/2021,723,1,19.13,8/4/2021,723,040030543-P4 BOXER MEN FRUIT OF THE LOOM XL,1,8,Ali Taleb,723,BOXER,MEN,0,22,8,MULTI,XL,August,2021
4/28/2021,829,1,13.58,8/4/2021,829,558295 SHIRT MEN GOODFELLOW L,1,6,Ali Taleb,829,SHIRT,MEN,0,18,6,GREY,L,August,2021
4/29/2021,950,1,8.13,8/4/2021,950,F00324021 T-SHIRT MEN GOODFELLOW M,1,5,Ali Taleb,950,T-SHIRT,MEN,0,18,5,BLACK,M,August,2021
4/29/2021,1271,1,14.63,4/24/2021,1271,838063-010 THERMAL SHORTS MEN NIKE XL,1,8,Ali Taleb,1271,THERMAL SHORTS,MEN,0,18,8,BLACK,XL,April,2021
4/29/2021,770,1,14.63,8/4/2021,770,546324 JEANS PANT MEN GOODFELLOW 32,1,7,Ali Taleb,770,JEANS PANT,MEN,0,20,7,BLUE,32,August,2021
4/29/2021,647,1,6.5,6/4/2021,647,192503120558 SPORT T-SHIRT MEN CHAMPION m,1,7,Ali Taleb,647,SPORT T-SHIRT,MEN,0,10,7,ORANGE,m,June,2021
4/29/2021,601,1,35.37,10/2/2021,601,BAG PUMA BAG acc PUMA M,3,78,Ali Taleb,601,BAG,ACC,0,58,26,BLACK,M,October,2021
4/29/2021,682,1,12.85,8/4/2021,682,040051233-P3 BOXER MEN GOODFELLOW S,4,28,Ali Taleb,682,BOXER,MEN,0,15,7,MULTI,S,August,2021
4/29/2021,538,1,44.72,10/2/2021,538,FV4668 SHOES WOMEN REEBOK 38,2,68,Ali Taleb,538,SHOES,WOMEN,0,50,34,BLACK PINK,38,October,2021
4/30/2021,537,1,45.64,10/2/2021,537,FX7946 SHOES WOMEN REEBOK 39,3,102,Ali Taleb,537,SHOES,WOMEN,0,50,34,NAVY,39,October,2021
4/30/2021,857,1,15.65,8/4/2021,857,42080691 SHIRT MEN WRANGLER XL,1,6,Ali Taleb,857,SHIRT,MEN,0,18,6,BLUE GREY,XL,August,2021
4/30/2021,531,0,0,10/2/2021,531,FX3427 SHOES WOMEN ADIDAS 41 1\2,2,56,Ali Taleb,531,SHOES,WOMEN,0,45,28,GREY,41 1\2,October,2021
4/30/2021,1086,1,24.34,4/24/2021,1086,AM0126-010 T-SHIRT MEN COLUMBIA XL,1,9,Ali Taleb,1086,T-SHIRT,MEN,0,28,9,BLACK,XL,April,2021
4/30/2021,789,1,17.39,8/4/2021,789,42214406 COTTON PANT MEN GOODFELLOW 34,1,7,Ali Taleb,789,COTTON PANT,MEN,0,20,7,NAVY,34,August,2021
4/30/2021,1079,1,23.58,4/24/2021,1079,AM0126-464 T-SHIRT MEN COLUMBIA S,1,8,Ali Taleb,1079,T-SHIRT,MEN,0,28,9,BLUE,S,April,2021
4/30/2021,695,1,12.98,8/4/2021,695,00630-100275-P2 BOXER MEN PAIR OF THEIVES M,2,10,Ali Taleb,695,BOXER,MEN,0,15,5,MULTI,M,August,2021
4/30/2021,695,1,9.68,8/4/2021,695,00630-100275-P2 BOXER MEN PAIR OF THEIVES M,2,10,Ali Taleb,695,BOXER,MEN,0,15,5,MULTI,M,August,2021
4/30/2021,569,1,51.93,10/2/2021,569,FV2526 SHOES MEN REEBOK 44,3,111,Ali Taleb,569,SHOES,MEN,0,60,37,NAVY,44,October,2021
4/30/2021,700,1,4.52,8/4/2021,700,840080204-P1 BOXER MEN PAIR OF THEIVES M,10,20,Ali Taleb,700,BOXER,MEN,0,3,2,MULTI,M,August,2021
4/30/2021,538,-1,-44.62,10/2/2021,538,FV4668 SHOES WOMEN REEBOK 38,2,68,Ali Taleb,538,SHOES,WOMEN,0,50,34,BLACK PINK,38,October,2021
5/1/2021,1083,1,16.21,4/24/2021,1083,AM0126-100 T-SHIRT MEN COLUMBIA S,1,9,Ali Taleb,1083,T-SHIRT,MEN,0,28,9,WHITE,S,April,2021
5/1/2021,1082,1,19.94,4/24/2021,1082,AM0126-464 T-SHIRT MEN COLUMBIA XXL,1,9,Ali Taleb,1082,T-SHIRT,MEN,0,28,9,BLUE,XXL,April,2021
5/1/2021,619,1,4.05,2/24/2021,619,SN90120N SHOES KIDS SCKECHERS 16,1,3,Ali Taleb,619,SHOES,KIDS,0,8,3,BLACK,16,February,2021
5/1/2021,617,1,4.05,2/24/2021,617,SN89289N SHOES KIDS SCKECHERS 16,3,9,Ali Taleb,617,SHOES,KIDS,0,8,3,BLUE,16,February,2021
5/1/2021,1087,1,25.33,4/24/2021,1087,AM0126-440 T-SHIRT MEN COLUMBIA L,1,9,Ali Taleb,1087,T-SHIRT,MEN,0,28,9,LIGHT BLUE,L,April,2021
5/1/2021,1077,2,40.53,4/24/2021,1077,AJ9651-480 T-SHIRT MEN NIKE L,2,16,Ali Taleb,1077,T-SHIRT,MEN,0,22,7,BLUE,L,April,2021
5/2/2021,833,1,15.24,8/4/2021,833,558303 SHIRT MEN GOODFELLOW XL,1,6,Ali Taleb,833,SHIRT,MEN,0,18,6,GREY,XL,August,2021
